subjnum,TaskOrder,block_Norm,CD,VD,suppress_score
15,VST_first,1,0.7850627231190593,0.7541955732094332,-0.030867149909626135
15,VST_first,2,0.7876817250242949,0.7276300536514503,-0.06005167137284462
15,VST_first,3,0.7447450986254072,0.7007912053600952,-0.04395389326531196
15,VST_first,4,0.7434249702864693,0.6948836944649752,-0.048541275821494034
15,VST_first,5,0.7741670783780734,0.754763178823705,-0.019403899554368387
15,VST_first,6,0.8124112071654868,0.7534459977032417,-0.05896520946224504
15,VST_first,7,0.7263573419377068,0.7158942321562813,-0.010463109781425506
15,VST_first,8,0.7562843953190037,0.7719606667423905,0.01567627142338679
16,RSVP_first,1,0.6850382656005781,0.7110354153622345,0.025997149761656346
16,RSVP_first,2,0.7270521837414196,0.7189459713588887,-0.008106212382530842
16,RSVP_first,3,0.6706262983924065,0.65764001343223,-0.012986284960176508
16,RSVP_first,4,0.6531668803973818,0.6836426602950366,0.03047577989765482
16,RSVP_first,5,0.6958911044401926,0.6490041809434897,-0.04688692349670298
16,RSVP_first,6,0.6896269860126442,0.721588329697439,0.03196134368479486
16,RSVP_first,7,0.7057567979060086,0.7004725382705356,-0.005284259635473076
16,RSVP_first,8,0.7152641124639993,0.6631207183835943,-0.052143394080405026
17,VST_first,1,0.5739560523532605,0.5541385744450215,-0.019817477908239067
17,VST_first,2,0.5919317736505219,0.6060317605981577,0.014099986947635812
17,VST_first,3,0.6980894785815925,0.5618079686276078,-0.1362815099539847
17,VST_first,4,0.5633692504954283,0.5621996991462129,-0.0011695513492153697
17,VST_first,5,0.7017165075787604,0.5516598629737852,-0.15005664460497514
17,VST_first,6,0.6223524786221434,0.6746893671844179,0.052336888562274475
17,VST_first,7,0.5859065403744657,0.6396888352381087,0.053782294863643054
17,VST_first,8,0.6858279112018986,0.48790148469038624,-0.19792642651151232
18,RSVP_first,1,0.6465216205185014,0.6944134778286305,0.04789185731012913
18,RSVP_first,2,0.6982691846159342,0.6674880291876046,-0.0307811554283296
18,RSVP_first,3,0.7316994622256623,0.5996509896208055,-0.13204847260485675
18,RSVP_first,4,0.7210866520753108,0.6346875435910361,-0.08639910848427468
18,RSVP_first,5,0.7377350459113732,0.7069454876406693,-0.030789558270703843
18,RSVP_first,6,0.7074697568742336,0.661193021221252,-0.046276735652981627
18,RSVP_first,7,0.7410267075984711,0.7026697610699036,-0.03835694652856747
18,RSVP_first,8,0.7426867611479447,0.6597943230303113,-0.08289243811763347
19,VST_first,1,0.6115502650437238,0.6049058932716558,-0.006644371772068003
19,VST_first,2,0.6970630037933437,0.665487438742258,-0.03157556505108572
19,VST_first,3,0.7156012603914828,0.6697647400460277,-0.045836520345455045
19,VST_first,4,0.7373873463614686,0.7214369837088414,-0.01595036265262728
19,VST_first,5,0.7153648877122846,0.792598032930587,0.07723314521830238
19,VST_first,6,0.7227801704477514,0.6954678527970043,-0.027312317650747153
19,VST_first,7,0.7264146530079602,0.7488522394649965,0.022437586457036307
19,VST_first,8,0.748542228910818,0.7107922401956412,-0.03774998871517676
20,RSVP_first,1,0.7540802047563637,0.8001404992731002,0.04606029451673643
20,RSVP_first,2,0.8032133009728679,0.7674955743330493,-0.03571772663981865
20,RSVP_first,3,0.7940961368656633,0.7476341663832471,-0.04646197048241618
20,RSVP_first,4,0.8115351477237405,0.7867528706687393,-0.024782277055001134
20,RSVP_first,5,0.6770111598077476,0.6826807625412197,0.005669602733472057
20,RSVP_first,6,0.7110218880277198,0.7344065623117435,0.023384674284023688
20,RSVP_first,7,0.7654812884141308,0.7438557722019945,-0.021625516212136264
20,RSVP_first,8,0.7101005423685262,0.7581327702463571,0.0480322278778309
21,VST_first,1,0.6939170593729144,0.7414210532460901,0.04750399387317572
21,VST_first,2,0.652272746851688,0.7228338400290572,0.07056109317736914
21,VST_first,3,0.6660656600797246,0.734413115377832,0.06834745529810748
21,VST_first,4,0.6934528976037038,0.6249330605139559,-0.06851983708974785
21,VST_first,5,0.6342166892694657,0.7267463279282975,0.09252963865883179
21,VST_first,6,0.6670211365287688,0.6126756805081992,-0.054345456020569616
21,VST_first,7,0.6624724754108411,0.5756206525180558,-0.08685182289278526
21,VST_first,8,0.71979615079243,0.6029148031842386,-0.11688134760819135
22,RSVP_first,1,0.7337624018723439,0.7253601674966007,-0.008402234375743167
22,RSVP_first,2,0.7160656839815566,0.7190004611498308,0.002934777168274283
22,RSVP_first,3,0.7104010416998671,0.6751583541639733,-0.03524268753589377
22,RSVP_first,4,0.7305950831551785,0.6704164275240843,-0.06017865563109426
22,RSVP_first,5,0.7248275247828744,0.7506515563839348,0.025824031601060393
22,RSVP_first,6,0.7087249028252837,0.6858448130376205,-0.022880089787663205
22,RSVP_first,7,0.7337940189727621,0.7859341693750663,0.05214015040230424
22,RSVP_first,8,0.7599351672529557,0.7428520936262939,-0.017083073626661838
23,VST_first,1,0.6842121840543213,0.7831216548939886,0.09890947083966728
23,VST_first,2,0.6711545068735403,0.7508279798021376,0.07967347292859728
23,VST_first,3,0.687560570028324,0.6988766736228166,0.011316103594492533
23,VST_first,4,0.6790351632206683,0.7506439700162222,0.07160880679555393
23,VST_first,5,0.7111606899741986,0.722336853965106,0.011176163990907484
23,VST_first,6,0.6639774361447841,0.7135550861874337,0.04957765004264958
23,VST_first,7,0.7748155599623798,0.7025063096535398,-0.07230925030884006
23,VST_first,8,0.51585423162481,0.7129460002630418,0.19709176863823175
24,RSVP_first,1,0.7475508847517527,0.701463095145643,-0.04608778960610971
24,RSVP_first,2,0.741365065424401,0.7243708236343135,-0.01699424179008746
24,RSVP_first,3,0.7013161714366712,0.7996119201004491,0.09829574866377788
24,RSVP_first,4,0.7741798113603788,0.7231076642550948,-0.05107214710528407
24,RSVP_first,5,0.6860015781480533,0.738897650326267,0.05289607217821368
24,RSVP_first,6,0.6270844929893044,0.7138196142838693,0.08673512129456495
24,RSVP_first,7,0.6653402584252902,0.7620896275398849,0.09674936911459464
24,RSVP_first,8,0.6450164641610496,0.7033514265000139,0.05833496233896429
25,VST_first,1,0.7222389547835126,0.7171724544223346,-0.005066500361178061
25,VST_first,2,0.7585046938900541,0.7100353559834635,-0.04846933790659069
25,VST_first,3,0.7184077582295801,0.7298163453327005,0.011408587103120316
25,VST_first,4,0.6530518434405252,0.7399800225857996,0.0869281791452744
25,VST_first,5,0.7340279063023992,0.607188668647742,-0.1268392376546572
25,VST_first,6,0.673315827026587,0.6827573575600294,0.009441530533442433
25,VST_first,7,0.6066908159398798,0.7548226202502448,0.148131804310365
25,VST_first,8,0.768519758933478,0.7463019391605881,-0.022217819772889946
26,RSVP_first,1,0.7085955062996541,0.6856962800728489,-0.02289922622680518
26,RSVP_first,2,0.7078566696040043,0.6749777301901702,-0.03287893941383413
26,RSVP_first,3,0.7616742953408675,0.672339567595752,-0.08933472774511553
26,RSVP_first,4,0.6028216901946567,0.7226650456538315,0.1198433554591748
26,RSVP_first,5,0.6383660009807152,0.6833361548284894,0.04497015384777425
26,RSVP_first,6,0.6499059834612493,0.7150129202534349,0.0651069367921856
26,RSVP_first,7,0.5908533356735777,0.6422194883312777,0.05136615265770006
26,RSVP_first,8,0.7648817931376911,0.7589869765436907,-0.005894816594000374
27,VST_first,1,0.659535065620156,0.5808514957853754,-0.07868356983478053
27,VST_first,2,0.667338614675146,0.6575222128275725,-0.009816401847573486
27,VST_first,3,0.7521323421029901,0.6922217038609746,-0.05991063824201548
27,VST_first,4,0.6901545856481469,0.7164516350401551,0.026297049392008165
27,VST_first,5,0.7471051511195074,0.7508357850740714,0.0037306339545640776
27,VST_first,6,0.7603853500265711,0.7485430404714367,-0.011842309555134434
27,VST_first,7,0.7342415182281279,0.7138036831970402,-0.020437835031087648
27,VST_first,8,0.7411069839150335,0.7086523543828693,-0.03245462953216416
28,RSVP_first,1,0.7201038082759219,0.6804453863620635,-0.03965842191385838
28,RSVP_first,2,0.6817835153194356,0.6854095164019036,0.0036260010824680222
28,RSVP_first,3,0.64032534345607794,0.7399985162231968,0.099673172767118845
28,RSVP_first,4,0.5965870423643704,0.6559473734773259,0.05936033111295547
28,RSVP_first,5,0.7022471337973029,0.7206161787762638,0.01836904497896097
28,RSVP_first,6,0.7085225778606166,0.7009300915444104,-0.007592486316206126
28,RSVP_first,7,0.6774711031573054,0.6746420218520089,-0.002829081305296466
28,RSVP_first,8,0.739428275026085,0.6712635147658519,-0.0681647602602331
29,VST_first,1,0.6869906373374732,0.6610330282116226,-0.025957609125850656
29,VST_first,2,0.651355703915161,0.6200395388471832,-0.03131616506797774
29,VST_first,3,0.6039653500319807,0.6719953132488139,0.06802996321683319
29,VST_first,4,0.6632927005155842,0.6969570867305144,0.033664386214930175
29,VST_first,5,0.6852734960564049,0.6165256692940262,-0.06874782676237867
29,VST_first,6,0.589056736110786,0.677299635182648,0.088242899071862
29,VST_first,7,0.5927965799105679,0.6538560194504877,0.06105943953991977
29,VST_first,8,0.7274735870170184,0.6812266218624895,-0.04624696515452886
30,RSVP_first,1,0.7475403454521157,0.744876284696434,-0.0026640607556817075
30,RSVP_first,2,0.7024653463216449,0.6682203330909712,-0.03424501323067375
30,RSVP_first,3,0.7500218204173119,0.7522789036374516,0.002257083220139733
30,RSVP_first,4,0.7391433642272496,0.7666601321566578,0.02751676792940827
30,RSVP_first,5,0.7441104647791073,0.7172993460541759,-0.02681111872493136
30,RSVP_first,6,0.7688059040530891,0.7419489417609715,-0.026856962292117648
30,RSVP_first,7,0.7343148759878252,0.7481079641196245,0.013793088131799358
30,RSVP_first,8,0.7747712209856853,0.6823580780406728,-0.09241314294501246
31,VST_first,1,0.6738768120539647,0.6567441680383618,-0.017132644015602883
31,VST_first,2,0.6843283878705197,0.6927424453913518,0.008414057520832019
31,VST_first,3,0.7068456003603973,0.7150022528496737,0.008156652489276328
31,VST_first,4,0.6718582239578961,0.6386794310811257,-0.03317879287677039
31,VST_first,5,0.6552478083403376,0.7048421735888301,0.04959436524849248
