subjnum,TaskOrder,trial_num,trial_id,condition,block_Norm,p_efficient,p_engaged,n_fix
1,VST_first,31,1_2_64,VD,1,0.14869624153235464,0.8513037584676454,4
1,VST_first,32,1_3_65,VD,2,0.7239318718427294,0.27606812815727055,4
1,VST_first,33,1_3_66,CD,2,0.16979530096893877,0.8302046990310612,4
1,VST_first,34,1_3_67,CD,2,0.3745416524481036,0.6254583475518964,4
1,VST_first,35,1_3_68,VD,2,0.1907388381158957,0.8092611618841044,4
1,VST_first,36,1_3_69,VD,2,0.12783263677898515,0.8721673632210148,4
1,VST_first,37,1_3_70,CD,2,0.3831737221888506,0.6168262778111494,4
1,VST_first,38,1_3_71,VD,2,0.07715934756628158,0.9228406524337184,2
1,VST_first,39,1_3_72,VD,2,0.19886770565241887,0.8011322943475812,3
1,VST_first,40,1_3_74,VD,2,0.15320251060996384,0.8467974893900362,4
1,VST_first,41,1_3_75,VD,2,0.11487610305775497,0.885123896942245,4
1,VST_first,42,1_3_76,CD,2,0.23034106475833988,0.7696589352416601,4
1,VST_first,43,1_3_77,VD,2,0.3198595828076001,0.6801404171923999,4
1,VST_first,44,1_3_78,VD,2,0.39669204297637856,0.6033079570236214,4
1,VST_first,45,1_3_79,VD,2,0.1549754852216224,0.8450245147783776,4
1,VST_first,46,1_3_80,CD,2,0.5880802955038702,0.4119197044961298,5
1,VST_first,47,1_3_81,VD,2,0.18237418022530266,0.8176258197746973,5
1,VST_first,48,1_3_82,VD,2,0.5139792976138002,0.4860207023861998,2
1,VST_first,50,1_3_84,CD,2,0.2565807080978876,0.7434192919021124,5
1,VST_first,51,1_3_85,CD,2,0.12012483745047402,0.879875162549526,4
1,VST_first,52,1_3_86,CD,2,0.39663807559782216,0.603361924402178,4
1,VST_first,54,1_3_88,VD,2,0.5145053708702474,0.48549462912975266,2
1,VST_first,55,1_3_89,CD,2,0.6800775311014678,0.3199224688985321,3
1,VST_first,56,1_3_90,CD,2,0.1200725611063833,0.8799274388936167,3
1,VST_first,57,1_3_91,CD,2,0.6214611426428798,0.37853885735712023,3
1,VST_first,58,1_3_92,CD,2,0.2104289270212404,0.7895710729787596,4
1,VST_first,59,1_3_93,CD,2,0.3875270296322959,0.6124729703677041,3
1,VST_first,60,1_3_94,CD,2,0.3862156918192243,0.6137843081807757,3
1,VST_first,61,1_3_95,CD,2,0.2204985273263364,0.7795014726736635,4
1,VST_first,62,1_3_96,VD,2,0.11415619857809065,0.8858438014219094,3
1,VST_first,63,1_4_97,CD,3,0.41017224796449886,0.5898277520355012,5
1,VST_first,64,1_4_98,CD,3,0.4316947339666518,0.5683052660333482,5
1,VST_first,65,1_4_99,VD,3,0.2091161882128879,0.7908838117871121,4
1,VST_first,66,1_4_100,VD,3,0.22688406557443128,0.7731159344255687,4
1,VST_first,67,1_4_101,VD,3,0.32835344417055146,0.6716465558294485,4
1,VST_first,68,1_4_102,CD,3,0.3481009712509805,0.6518990287490194,4
1,VST_first,69,1_4_103,VD,3,0.40376626965122403,0.596233730348776,3
1,VST_first,70,1_4_104,CD,3,0.10269146734185994,0.89730853265814,3
1,VST_first,71,1_4_105,CD,3,0.33064175647113403,0.669358243528866,4
1,VST_first,72,1_4_106,VD,3,0.13258998731022276,0.8674100126897772,3
1,VST_first,73,1_4_107,CD,3,0.3843020720529914,0.6156979279470086,3
1,VST_first,74,1_4_108,CD,3,0.33113427366309856,0.6688657263369014,4
1,VST_first,75,1_4_109,VD,3,0.3502241694154021,0.649775830584598,4
1,VST_first,76,1_4_111,CD,3,0.22162147463520984,0.7783785253647901,3
1,VST_first,77,1_4_112,VD,3,0.3417569563222384,0.6582430436777615,4
1,VST_first,78,1_4_113,VD,3,0.5333939141720689,0.466606085827931,2
1,VST_first,79,1_4_114,VD,3,0.3748803242414696,0.6251196757585304,5
1,VST_first,80,1_4_115,CD,3,0.3851276130045552,0.6148723869954448,3
1,VST_first,81,1_4_116,CD,3,0.1122538744344121,0.887746125565588,4
1,VST_first,82,1_4_117,VD,3,0.16744728620924781,0.8325527137907521,4
1,VST_first,83,1_4_118,CD,3,0.5151047945627555,0.4848952054372445,2
1,VST_first,84,1_4_119,CD,3,0.24573417976803416,0.7542658202319659,4
1,VST_first,85,1_4_120,CD,3,0.6046594665606349,0.3953405334393651,3
1,VST_first,86,1_4_121,CD,3,0.5179855380203087,0.4820144619796914,2
1,VST_first,87,1_4_123,VD,3,0.3030726494784835,0.6969273505215164,5
1,VST_first,88,1_4_124,CD,3,0.14342084495336832,0.8565791550466317,4
